object_kind,schema_name,object_name,parent_object,column_name,normalized_signature,source_database,dependency_kind
"COLUMN","public","board_androiddevices.osversion","board_androiddevices","osversion","character varying(100)|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_androiddevices.regdate","board_androiddevices","regdate","timestamp without time zone|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_androiddevices.timezoneoffset","board_androiddevices","timezoneoffset","integer|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_androiddevices.userno","board_androiddevices","userno","integer|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_authogroup.auth_grp_id","board_authogroup","auth_grp_id","integer|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_authogroup.auth_grp_nm","board_authogroup","auth_grp_nm","character varying(100)|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_authogroup.dts_insert","board_authogroup","dts_insert","timestamp without time zone|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_authogroup.dts_update","board_authogroup","dts_update","timestamp without time zone|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_authogroup.id_insert","board_authogroup","id_insert","integer|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_authogroup.id_update","board_authogroup","id_update","integer|nullable=1","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_authogroup.use_yn","board_authogroup","use_yn","character(1)|nullable=1","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_boards.boardno","board_boards","boardno","integer|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_boards.description","board_boards","description","character varying(1000)|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_boards.displaytypeno","board_boards","displaytypeno","integer|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_boards.enabled","board_boards","enabled","boolean|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_boards.folderno","board_boards","folderno","integer|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_boards.ishead","board_boards","ishead","boolean|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_boards.isnotice","board_boards","isnotice","boolean|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_boards.isrecommend","board_boards","isrecommend","boolean|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_boards.isreply","board_boards","isreply","boolean|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_boards.moddate","board_boards","moddate","timestamp without time zone|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_boards.moduserno","board_boards","moduserno","integer|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_boards.name","board_boards","name","character varying(4000)|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_boards.recommendeddisplaycount","board_boards","recommendeddisplaycount","integer|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_boards.sortno","board_boards","sortno","integer|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_boards.spectype","board_boards","spectype","integer|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_boards.viewmode","board_boards","viewmode","integer|nullable=1","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_commentsetting.boardno","board_commentsetting","boardno","integer|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_commentsetting.isdelete","board_commentsetting","isdelete","boolean|nullable=1","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_commentsetting.moddate","board_commentsetting","moddate","timestamp without time zone|nullable=1","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_commentsetting.moduserno","board_commentsetting","moduserno","integer|nullable=1","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_commentsetting.no","board_commentsetting","no","integer|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_commentsetting.regdate","board_commentsetting","regdate","timestamp without time zone|nullable=1","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_commentsetting.reguserno","board_commentsetting","reguserno","integer|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_config.configkey","board_config","configkey","character varying(50)|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_config.configno","board_config","configno","integer|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_config.configvalue","board_config","configvalue","character varying(500)|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_config.lastestdate","board_config","lastestdate","timestamp(3) without time zone|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
